Season;Team;No.;Player;Pos;Ht;Wt;Birth Date;Country;Exp;College
1965-66;St. Louis Hawks;31;Zelmo Beaty;C;6-9;225;October 25, 1939;us;3;Prairie View A&M University
1965-66;St. Louis Hawks;32;Bill Bridges;PF;6-6;228;April 4, 1939;us;3;Kansas
1965-66;St. Louis Hawks;27;Joe Caldwell;SF;6-5;195;November 1, 1941;us;1;Arizona State
1965-66;St. Louis Hawks;12;Mike Farmer;SF;6-7;210;September 26, 1936;us;6;San Francisco
1965-66;St. Louis Hawks;15;Richie Guerin;SG;6-4;195;May 29, 1932;us;9;Iona College
1965-66;St. Louis Hawks;16;Cliff Hagan;SF;6-4;210;December 9, 1931;us;9;Kentucky
1965-66;St. Louis Hawks;44;Jeff Mullins;SG;6-4;190;March 18, 1942;us;1;Duke
1965-66;St. Louis Hawks;29;Paul Silas;PF;6-7;220;July 12, 1943;us;1;Creighton
1965-66;St. Louis Hawks;22;Rod Thorn;SG;6-4;195;May 23, 1941;us;2;West Virginia
1965-66;St. Louis Hawks;34;Gene Tormohlen;C;6-8;230;May 12, 1937;us;2;Tennessee
1965-66;St. Louis Hawks;27;John Tresvant;PF;6-7;215;November 6, 1939;us;1;Seattle University
1965-66;St. Louis Hawks;17;Chico Vaughn;PG;6-2;190;February 19, 1940;us;3;Southern Illinois
1965-66;St. Louis Hawks;25;Jim Washington;PF;6-6;210;July 1, 1943;us;R;Villanova
1965-66;St. Louis Hawks;14;Lenny Wilkens;PG;6-1;180;October 28, 1937;us;5;Providence
1966-67;St. Louis Hawks;31;Zelmo Beaty;C;6-9;225;October 25, 1939;us;4;Prairie View A&M University
1966-67;St. Louis Hawks;32;Bill Bridges;PF;6-6;228;April 4, 1939;us;4;Kansas
1966-67;St. Louis Hawks;27;Joe Caldwell;SF;6-5;195;November 1, 1941;us;2;Arizona State
1966-67;St. Louis Hawks;15;Richie Guerin;SG;6-4;195;May 29, 1932;us;10;Iona College
1966-67;St. Louis Hawks;12;Tom Hoover;C;6-9;230;January 23, 1941;us;3;Villanova
1966-67;St. Louis Hawks;23;Lou Hudson;SF;6-5;210;July 11, 1944;us;R;Minnesota
1966-67;St. Louis Hawks;30;Tommy Kron;SG;6-5;200;February 28, 1943;us;R;Kentucky
1966-67;St. Louis Hawks;12, 29;Paul Silas;PF;6-7;220;July 12, 1943;us;2;Creighton
1966-67;St. Louis Hawks;10;Dick Snyder;SG;6-5;207;February 1, 1944;us;R;Davidson
1966-67;St. Louis Hawks;44;Rod Thorn;PG;6-4;195;May 23, 1941;us;3;West Virginia
1966-67;St. Louis Hawks;34;Gene Tormohlen;C;6-8;230;May 12, 1937;us;3;Tennessee
1966-67;St. Louis Hawks;14;Lenny Wilkens;PG;6-1;180;October 28, 1937;us;6;Providence
1967-68;St. Louis Hawks;31;Zelmo Beaty;C;6-9;225;October 25, 1939;us;5;Prairie View A&M University
1967-68;St. Louis Hawks;32;Bill Bridges;PF;6-6;228;April 4, 1939;us;5;Kansas
1967-68;St. Louis Hawks;27;Joe Caldwell;SF;6-5;195;November 1, 1941;us;3;Arizona State
1967-68;St. Louis Hawks;24, 25;Jim Davis;C;6-9;225;December 18, 1941;us;R;Colorado
1967-68;St. Louis Hawks;23;Lou Hudson;SG;6-5;210;July 11, 1944;us;1;Minnesota
1967-68;St. Louis Hawks;20;George Lehmann;PG;6-0;180;May 1, 1942;us;R;Campbell
1967-68;St. Louis Hawks;44;Jay Miller;SF;6-5;205;July 19, 1943;us;R;Notre Dame
1967-68;St. Louis Hawks;30;Don Ohl;PG;6-3;190;April 18, 1936;us;7;Illinois
1967-68;St. Louis Hawks;29;Paul Silas;PF;6-7;220;July 12, 1943;us;3;Creighton
1967-68;St. Louis Hawks;10;Dick Snyder;SG;6-5;207;February 1, 1944;us;1;Davidson
1967-68;St. Louis Hawks;34;Gene Tormohlen;C;6-8;230;May 12, 1937;us;4;Tennessee
1967-68;St. Louis Hawks;14;Lenny Wilkens;PG;6-1;180;October 28, 1937;us;7;Providence
1967-68;St. Louis Hawks;12;Tom Workman;F-C;6-7;218;November 14, 1944;us;R;Seattle University
1968-69;Atlanta Hawks;31;Zelmo Beaty;C;6-9;225;October 25, 1939;us;6;Prairie View A&M University
1968-69;Atlanta Hawks;32;Bill Bridges;PF;6-6;228;April 4, 1939;us;6;Kansas
1968-69;Atlanta Hawks;27;Joe Caldwell;SG;6-5;195;November 1, 1941;us;4;Arizona State
1968-69;Atlanta Hawks;24;Jim Davis;C;6-9;225;December 18, 1941;us;1;Colorado
1968-69;Atlanta Hawks;18, 19;Richie Guerin;SG;6-4;195;May 29, 1932;us;11;Iona College
1968-69;Atlanta Hawks;12;Dennis Hamilton;PF;6-8;210;May 8, 1944;us;1;Arizona State
1968-69;Atlanta Hawks;21;Skip Harlicka;PG;6-1;185;October 14, 1946;;R;South Carolina
1968-69;Atlanta Hawks;42;Walt Hazzard;PG;6-2;185;April 15, 1942;us;4;UCLA
1968-69;Atlanta Hawks;23;Lou Hudson;SF;6-5;210;July 11, 1944;us;2;Minnesota
1968-69;Atlanta Hawks;20;George Lehmann;PG;6-0;180;May 1, 1942;us;1;Campbell
1968-69;Atlanta Hawks;10;Don Ohl;SG;6-3;190;April 18, 1936;us;8;Illinois
1968-69;Atlanta Hawks;29;Paul Silas;PF;6-7;220;July 12, 1943;us;4;Creighton
1968-69;Atlanta Hawks;16, 34;Dwight Waller;F;6-6;220;October 5, 1945;us;R;Tennessee State
1969-70;Atlanta Hawks;14;Butch Beard;PG;6-3;185;May 4, 1947;us;R;Louisville
1969-70;Atlanta Hawks;8;Walt Bellamy;C;6-11;225;July 24, 1939;us;8;Indiana
1969-70;Atlanta Hawks;32;Bill Bridges;PF;6-6;228;April 4, 1939;us;7;Kansas
1969-70;Atlanta Hawks;27;Joe Caldwell;SG;6-5;195;November 1, 1941;us;5;Arizona State
1969-70;Atlanta Hawks;24;Jim Davis;C;6-9;225;December 18, 1941;us;2;Colorado
1969-70;Atlanta Hawks;40;Gary Gregor;SF;6-7;225;August 13, 1945;us;1;South Carolina
1969-70;Atlanta Hawks;19;Richie Guerin;SG;6-4;195;May 29, 1932;us;12;Iona College
1969-70;Atlanta Hawks;42;Walt Hazzard;PG;6-2;185;April 15, 1942;us;5;UCLA
1969-70;Atlanta Hawks;23;Lou Hudson;SF;6-5;210;July 11, 1944;us;3;Minnesota
1969-70;Atlanta Hawks;29;Dave Newmark;C;7-0;240;September 11, 1946;us;1;Columbia University
1969-70;Atlanta Hawks;12;Grady O'Malley;F;6-5;205;April 25, 1948;us;R;Manhattan College
1969-70;Atlanta Hawks;10;Don Ohl;SG;6-3;190;April 18, 1936;us;9;Illinois
1969-70;Atlanta Hawks;34;Gene Tormohlen;C;6-8;230;May 12, 1937;us;5;Tennessee
1970-71;Atlanta Hawks;8;Walt Bellamy;C;6-11;225;July 24, 1939;us;9;Indiana
1970-71;Atlanta Hawks;32;Bill Bridges;PF;6-6;228;April 4, 1939;us;8;Kansas
1970-71;Atlanta Hawks;33;Jerry Chambers;SF;6-5;185;July 18, 1943;us;2;Trinidad State Junior College, Utah
1970-71;Atlanta Hawks;25;Len Chappell;PF;6-8;240;January 31, 1941;us;8;Wake Forest
1970-71;Atlanta Hawks;31;Bob Christian;C;6-10;255;May 11, 1946;;1;Grambling State University
1970-71;Atlanta Hawks;24;Jim Davis;C;6-9;225;December 18, 1941;us;3;Colorado
1970-71;Atlanta Hawks;42;Walt Hazzard;PG;6-2;185;April 15, 1942;us;6;UCLA
1970-71;Atlanta Hawks;23;Lou Hudson;SF;6-5;210;July 11, 1944;us;4;Minnesota
1970-71;Atlanta Hawks;44;Pete Maravich;SG;6-5;197;June 22, 1947;us;R;LSU
1970-71;Atlanta Hawks;12;Bob Riley;F;6-9;235;July 6, 1948;;R;Mount St. Mary's University
1970-71;Atlanta Hawks;40;John Vallely;SG;6-3;185;October 3, 1948;;R;UCLA
1970-71;Atlanta Hawks;34;Herb White;PG;6-2;195;June 15, 1948;;R;Georgia
1971-72;Atlanta Hawks;10;Don Adams;SF;6-6;210;November 27, 1947;us;1;Northwestern
1971-72;Atlanta Hawks;8;Walt Bellamy;C;6-11;225;July 24, 1939;us;10;Indiana
1971-72;Atlanta Hawks;32;Bill Bridges;PF;6-6;228;April 4, 1939;us;9;Kansas
1971-72;Atlanta Hawks;31;Bob Christian;C;6-10;255;May 11, 1946;;2;Grambling State University
1971-72;Atlanta Hawks;24;Jim Davis;C;6-9;225;December 18, 1941;us;4;Colorado
1971-72;Atlanta Hawks;3;Herm Gilliam;PG;6-3;190;May 5, 1946;us;2;Purdue
1971-72;Atlanta Hawks;11;Shaler Halimon;SF;6-5;199;March 30, 1945;us;3;Imperial Valley College, Utah State University
1971-72;Atlanta Hawks;42;Jeff Halliburton;SG;6-5;193;July 3, 1949;us;R;Drake University
1971-72;Atlanta Hawks;23;Lou Hudson;SG;6-5;210;July 11, 1944;us;5;Minnesota
1971-72;Atlanta Hawks;44;Pete Maravich;SG;6-5;197;June 22, 1947;us;1;LSU
1971-72;Atlanta Hawks;22;Don May;SF;6-4;200;January 3, 1946;us;3;Dayton
1971-72;Atlanta Hawks;54;Tom Payne;C;7-2;240;November 19, 1950;us;R;Kentucky
1971-72;Atlanta Hawks;20;Larry Siegfried;PG;6-3;190;May 22, 1939;us;8;Ohio State
1971-72;Atlanta Hawks;30;George Trapp;PF;6-8;205;July 11, 1948;us;R;Cal State Long Beach
1971-72;Atlanta Hawks;40;John Vallely;SG;6-3;185;October 3, 1948;;1;UCLA
1971-72;Atlanta Hawks;12;Jim Washington;PF;6-6;210;July 1, 1943;us;6;Villanova
1971-72;Atlanta Hawks;11;Milt Williams;PG;6-2;182;November 22, 1945;us;1;Lincoln University of Missouri
1972-73;Atlanta Hawks;10;Don Adams;SF;6-6;210;November 27, 1947;us;2;Northwestern
1972-73;Atlanta Hawks;8;Walt Bellamy;C;6-11;225;July 24, 1939;us;11;Indiana
1972-73;Atlanta Hawks;20;Steve Bracey;PG;6-1;175;August 1, 1950;us;R;Tulsa
1972-73;Atlanta Hawks;31;Bob Christian;C;6-10;255;May 11, 1946;;3;Grambling State University
1972-73;Atlanta Hawks;3;Herm Gilliam;PG;6-3;190;May 5, 1946;us;3;Purdue
1972-73;Atlanta Hawks;42;Jeff Halliburton;SG;6-5;193;July 3, 1949;us;1;Drake University
1972-73;Atlanta Hawks;23;Lou Hudson;SF;6-5;210;July 11, 1944;us;6;Minnesota
1972-73;Atlanta Hawks;44;Pete Maravich;SG;6-5;197;June 22, 1947;us;2;LSU
1972-73;Atlanta Hawks;25;Eddie Mast;PF;6-9;220;October 3, 1948;us;2;Temple
1972-73;Atlanta Hawks;22;Don May;SF;6-4;200;January 3, 1946;us;4;Dayton
1972-73;Atlanta Hawks;30;George Trapp;PF;6-8;205;July 11, 1948;us;1;Cal State Long Beach
1972-73;Atlanta Hawks;22;John Tschogl;SF;6-6;206;April 25, 1950;us;R;UC Santa Barbara
1972-73;Atlanta Hawks;12;Jim Washington;PF;6-6;210;July 1, 1943;us;7;Villanova
1972-73;Atlanta Hawks;33;John Wetzel;SG;6-5;190;October 22, 1944;us;3;Virginia Tech
1973-74;Atlanta Hawks;8;Walt Bellamy;C;6-11;225;July 24, 1939;us;12;Indiana
1973-74;Atlanta Hawks;20;Steve Bracey;PG;6-1;175;August 1, 1950;us;1;Tulsa
1973-74;Atlanta Hawks;50;John Brown;SF;6-7;220;December 14, 1951;de;R;Missouri
1973-74;Atlanta Hawks;3;Herm Gilliam;PG;6-3;190;May 5, 1946;us;4;Purdue
1973-74;Atlanta Hawks;23;Lou Hudson;SF;6-5;210;July 11, 1944;us;7;Minnesota
1973-74;Atlanta Hawks;24;Tom Ingelsby;PG;6-3;180;February 12, 1951;us;R;Villanova
1973-74;Atlanta Hawks;13;Dwight Jones;PF;6-10;210;February 27, 1952;us;R;Houston
1973-74;Atlanta Hawks;44;Pete Maravich;SG;6-5;197;June 22, 1947;us;3;LSU
1973-74;Atlanta Hawks;54;Dale Schlueter;C;6-10;225;November 12, 1945;us;5;Colorado State
1973-74;Atlanta Hawks;22;John Tschogl;SF;6-6;206;April 25, 1950;us;1;UC Santa Barbara
1973-74;Atlanta Hawks;12;Jim Washington;PF;6-6;210;July 1, 1943;us;8;Villanova
1973-74;Atlanta Hawks;33;John Wetzel;SG;6-5;190;October 22, 1944;us;4;Virginia Tech
1974-75;Atlanta Hawks;50;John Brown;SF;6-7;220;December 14, 1951;de;1;Missouri
1974-75;Atlanta Hawks;22;John Drew;PF;6-6;205;September 30, 1954;us;R;Gardner-Webb University
1974-75;Atlanta Hawks;3;Herm Gilliam;SG;6-3;190;May 5, 1946;us;5;Purdue
1974-75;Atlanta Hawks;14;Tom Henderson;PG;6-3;190;January 26, 1952;us;R;Hawaii
1974-75;Atlanta Hawks;23;Lou Hudson;SG;6-5;210;July 11, 1944;us;8;Minnesota
1974-75;Atlanta Hawks;13;Dwight Jones;C;6-10;210;February 27, 1952;us;1;Houston
1974-75;Atlanta Hawks;44;Bob Kauffman;PF;6-8;240;July 13, 1946;us;6;Guilford College
1974-75;Atlanta Hawks;43;Clyde Lee;PF;6-10;205;March 14, 1944;us;8;Vanderbilt
1974-75;Atlanta Hawks;7;Dean Meminger;PG;6-0;175;May 13, 1948;us;3;Marquette
1974-75;Atlanta Hawks;40;Mike Sojourner;C;6-9;225;October 16, 1953;us;R;Utah
1974-75;Atlanta Hawks;5;Tom Van Arsdale;SF;6-5;202;February 22, 1943;us;9;Indiana
1974-75;Atlanta Hawks;12;Jim Washington;PF;6-6;210;July 1, 1943;us;9;Villanova
1974-75;Atlanta Hawks;33;John Wetzel;SG;6-5;190;October 22, 1944;us;5;Virginia Tech
1975-76;Atlanta Hawks;50;John Brown;PF;6-7;220;December 14, 1951;de;2;Missouri
1975-76;Atlanta Hawks;24;Jim Creighton;SF;6-8;200;April 18, 1950;us;R;Colorado
1975-76;Atlanta Hawks;22;John Drew;SF;6-6;205;September 30, 1954;us;1;Gardner-Webb University
1975-76;Atlanta Hawks;21;Dennis DuVal;PG;6-3;175;March 31, 1952;us;1;Syracuse
1975-76;Atlanta Hawks;42;Connie Hawkins;PF;6-8;210;July 17, 1942;us;8;Iowa
1975-76;Atlanta Hawks;14;Tom Henderson;PG;6-3;190;January 26, 1952;us;1;Hawaii
1975-76;Atlanta Hawks;20;Wilbur Holland;SG;6-0;175;November 8, 1951;us;R;New Orleans
1975-76;Atlanta Hawks;23;Lou Hudson;SG;6-5;210;July 11, 1944;us;9;Minnesota
1975-76;Atlanta Hawks;13;Dwight Jones;C;6-10;210;February 27, 1952;us;2;Houston
1975-76;Atlanta Hawks;7;Dean Meminger;SG;6-0;175;May 13, 1948;us;4;Marquette
1975-76;Atlanta Hawks;40;Mike Sojourner;C;6-9;225;October 16, 1953;us;1;Utah
1975-76;Atlanta Hawks;5;Tom Van Arsdale;SF;6-5;202;February 22, 1943;us;10;Indiana
1975-76;Atlanta Hawks;32;Bill Willoughby;SF;6-8;205;May 20, 1957;us;R;
1976-77;Atlanta Hawks;41;Tom Barker;C;6-11;225;March 11, 1955;us;R;Hawaii
1976-77;Atlanta Hawks;50;John Brown;SF;6-7;220;December 14, 1951;de;3;Missouri
1976-77;Atlanta Hawks;44;Ken Charles;SG;6-3;180;July 10, 1951;tt;3;Fordham
1976-77;Atlanta Hawks;13;Ron Davis;SF;6-6;198;May 1, 1954;us;R;Washington State
1976-77;Atlanta Hawks;34;Randy Denton;C;6-10;240;February 18, 1949;us;5;Duke
1976-77;Atlanta Hawks;13;Henry Dickerson;PG;6-4;190;November 27, 1951;us;1;University of Charleston
1976-77;Atlanta Hawks;22;John Drew;SF;6-6;205;September 30, 1954;us;2;Gardner-Webb University
1976-77;Atlanta Hawks;10;Steve Hawes;PF;6-9;220;May 26, 1950;us;2;Washington
1976-77;Atlanta Hawks;14;Tom Henderson;PG;6-3;190;January 26, 1952;us;2;Hawaii
1976-77;Atlanta Hawks;24;Armond Hill;PG;6-4;190;March 31, 1953;us;R;Princeton
1976-77;Atlanta Hawks;23;Lou Hudson;SG;6-5;210;July 11, 1944;us;10;Minnesota
1976-77;Atlanta Hawks;25;Joe Meriweather;C;6-10;215;October 26, 1953;us;1;Southern Illinois
1976-77;Atlanta Hawks;33;Truck Robinson;PF;6-7;225;October 4, 1951;us;2;Tennessee State
1976-77;Atlanta Hawks;40;Mike Sojourner;PF;6-9;225;October 16, 1953;us;2;Utah
1976-77;Atlanta Hawks;12;Claude Terry;SG;6-4;195;January 12, 1950;us;4;Stanford
1976-77;Atlanta Hawks;32;Bill Willoughby;SF;6-8;205;May 20, 1957;us;1;
1977-78;Atlanta Hawks;11;Ron Behagen;PF;6-9;185;January 14, 1951;us;4;Minnesota
1977-78;Atlanta Hawks;50;John Brown;SF;6-7;220;December 14, 1951;de;4;Missouri
1977-78;Atlanta Hawks;44;Ken Charles;SG;6-3;180;July 10, 1951;tt;4;Fordham
1977-78;Atlanta Hawks;14;Charlie Criss;PG;5-8;165;November 6, 1948;us;R;New Mexico State
1977-78;Atlanta Hawks;22;John Drew;SF;6-6;205;September 30, 1954;us;3;Gardner-Webb University
1977-78;Atlanta Hawks;10;Steve Hawes;PF;6-9;220;May 26, 1950;us;3;Washington
1977-78;Atlanta Hawks;24;Armond Hill;PG;6-4;190;March 31, 1953;us;1;Princeton
1977-78;Atlanta Hawks;3;Eddie Johnson;SG;6-2;180;February 24, 1955;us;R;Auburn
1977-78;Atlanta Hawks;27;Ollie Johnson;SF;6-6;200;May 11, 1949;us;5;Temple
1977-78;Atlanta Hawks;54;Tom McMillen;C;6-11;215;May 26, 1952;us;2;Maryland
1977-78;Atlanta Hawks;4;Tony Robertson;SG;6-4;195;January 1, 1956;us;R;West Virginia
1977-78;Atlanta Hawks;30;Tree Rollins;C;7-1;235;June 16, 1955;us;R;Clemson
1977-78;Atlanta Hawks;12;Claude Terry;SG;6-4;195;January 12, 1950;us;5;Stanford
1978-79;Atlanta Hawks;14;Charlie Criss;PG;5-8;165;November 6, 1948;us;1;New Mexico State
1978-79;Atlanta Hawks;22;John Drew;SF;6-6;205;September 30, 1954;us;4;Gardner-Webb University
1978-79;Atlanta Hawks;25;Terry Furlow;SG;6-4;190;October 18, 1954;us;2;Michigan State
1978-79;Atlanta Hawks;21;Jack Givens;SF;6-5;205;September 21, 1956;us;R;Kentucky
1978-79;Atlanta Hawks;10;Steve Hawes;PF;6-9;220;May 26, 1950;us;4;Washington
1978-79;Atlanta Hawks;33;Keith Herron;SG;6-6;195;June 14, 1956;us;R;Villanova
1978-79;Atlanta Hawks;24;Armond Hill;PG;6-4;190;March 31, 1953;us;2;Princeton
1978-79;Atlanta Hawks;3;Eddie Johnson;SG;6-2;180;February 24, 1955;us;1;Auburn
1978-79;Atlanta Hawks;15;Butch Lee;PG;6-0;185;December 5, 1956;pr;R;Marquette
1978-79;Atlanta Hawks;54;Tom McMillen;C;6-11;215;May 26, 1952;us;3;Maryland
1978-79;Atlanta Hawks;30;Tree Rollins;C;7-1;235;June 16, 1955;us;1;Clemson
1978-79;Atlanta Hawks;32;Dan Roundfield;PF;6-8;205;May 26, 1953;us;3;Central Michigan University
1978-79;Atlanta Hawks;42;Rick Wilson;SG;6-5;200;February 7, 1956;us;R;Louisville
1979-80;Atlanta Hawks;50;John Brown;SF;6-7;220;December 14, 1951;de;6;Missouri
1979-80;Atlanta Hawks;14;Charlie Criss;PG;5-8;165;November 6, 1948;us;2;New Mexico State
1979-80;Atlanta Hawks;22;John Drew;SF;6-6;205;September 30, 1954;us;5;Gardner-Webb University
1979-80;Atlanta Hawks;25;Terry Furlow;SG;6-4;190;October 18, 1954;us;3;Michigan State
1979-80;Atlanta Hawks;21;Jack Givens;SF;6-5;205;September 21, 1956;us;1;Kentucky
1979-80;Atlanta Hawks;10;Steve Hawes;PF;6-9;220;May 26, 1950;us;5;Washington
1979-80;Atlanta Hawks;24;Armond Hill;PG;6-4;190;March 31, 1953;us;3;Princeton
1979-80;Atlanta Hawks;3;Eddie Johnson;SG;6-2;180;February 24, 1955;us;2;Auburn
1979-80;Atlanta Hawks;44;Ron Lee;PG;6-4;193;November 2, 1952;us;3;Oregon
1979-80;Atlanta Hawks;33;Jim McElroy;PG;6-3;190;October 4, 1953;us;4;Central Michigan University
1979-80;Atlanta Hawks;54;Tom McMillen;C;6-11;215;May 26, 1952;us;4;Maryland
1979-80;Atlanta Hawks;41;Sam Pellom;PF;6-9;225;October 2, 1951;us;R;Buffalo
1979-80;Atlanta Hawks;30;Tree Rollins;C;7-1;235;June 16, 1955;us;2;Clemson
1979-80;Atlanta Hawks;32;Dan Roundfield;PF;6-8;205;May 26, 1953;us;4;Central Michigan University
1979-80;Atlanta Hawks;42;Rick Wilson;SG;6-5;200;February 7, 1956;us;1;Louisville
1980-81;Atlanta Hawks;16;Tom Burleson;C;7-2;225;February 24, 1952;us;6;NC State
1980-81;Atlanta Hawks;44;Art Collins;SG;6-4;185;April 14, 1954;us;R;St. Thomas University
1980-81;Atlanta Hawks;7, 42;Don Collins;SF;6-6;190;November 28, 1958;us;R;Washington State
1980-81;Atlanta Hawks;14;Charlie Criss;PG;5-8;165;November 6, 1948;us;3;New Mexico State
1980-81;Atlanta Hawks;22;John Drew;SF;6-6;205;September 30, 1954;us;6;Gardner-Webb University
1980-81;Atlanta Hawks;10;Steve Hawes;C;6-9;220;May 26, 1950;us;6;Washington
1980-81;Atlanta Hawks;24;Armond Hill;PG;6-4;190;March 31, 1953;us;4;Princeton
1980-81;Atlanta Hawks;3;Eddie Johnson;SG;6-2;180;February 24, 1955;us;3;Auburn
1980-81;Atlanta Hawks;1;Wes Matthews;PG;6-1;170;August 24, 1959;us;R;Wisconsin
1980-81;Atlanta Hawks;33;Jim McElroy;PG;6-3;190;October 4, 1953;us;5;Central Michigan University
1980-81;Atlanta Hawks;54;Tom McMillen;C;6-11;215;May 26, 1952;us;5;Maryland
1980-81;Atlanta Hawks;41;Sam Pellom;PF;6-9;225;October 2, 1951;us;1;Buffalo
1980-81;Atlanta Hawks;30;Tree Rollins;C;7-1;235;June 16, 1955;us;3;Clemson
1980-81;Atlanta Hawks;32;Dan Roundfield;PF;6-8;205;May 26, 1953;us;5;Central Michigan University
1980-81;Atlanta Hawks;11;Craig Shelton;SF;6-7;210;May 1, 1957;us;R;Georgetown
1981-82;Atlanta Hawks;14;Charlie Criss;PG;5-8;165;November 6, 1948;us;4;New Mexico State
1981-82;Atlanta Hawks;22;John Drew;SF;6-6;205;September 30, 1954;us;7;Gardner-Webb University
1981-82;Atlanta Hawks;34;Mike Glenn;SG;6-2;175;September 10, 1955;us;4;Southern Illinois
1981-82;Atlanta Hawks;10;Steve Hawes;PF;6-9;220;May 26, 1950;us;7;Washington
1981-82;Atlanta Hawks;3;Eddie Johnson;SG;6-2;180;February 24, 1955;us;4;Auburn
1981-82;Atlanta Hawks;40;Rudy Macklin;SF;6-7;205;February 19, 1958;us;R;LSU
1981-82;Atlanta Hawks;1;Wes Matthews;PG;6-1;170;August 24, 1959;us;1;Wisconsin
1981-82;Atlanta Hawks;33;Jim McElroy;PG;6-3;190;October 4, 1953;us;6;Central Michigan University
1981-82;Atlanta Hawks;54;Tom McMillen;C;6-11;215;May 26, 1952;us;6;Maryland
1981-82;Atlanta Hawks;41;Sam Pellom;PF;6-9;225;October 2, 1951;us;2;Buffalo
1981-82;Atlanta Hawks;30;Tree Rollins;C;7-1;235;June 16, 1955;us;4;Clemson
1981-82;Atlanta Hawks;32;Dan Roundfield;PF;6-8;205;May 26, 1953;us;6;Central Michigan University
1981-82;Atlanta Hawks;11;Craig Shelton;SF;6-7;210;May 1, 1957;us;1;Georgetown
1981-82;Atlanta Hawks;2;Rory Sparrow;PG;6-2;175;June 12, 1958;us;1;Villanova
1981-82;Atlanta Hawks;20;Freeman Williams;SG;6-4;190;May 15, 1956;us;3;Portland State
1981-82;Atlanta Hawks;7;Al Wood;SG;6-6;193;June 2, 1958;us;R;UNC
1982-83;Atlanta Hawks;31;Rickey Brown;C;6-10;215;August 20, 1958;us;2;Mississippi State
1982-83;Atlanta Hawks;16;Johnny Davis;SG;6-2;170;October 21, 1955;us;6;Dayton
1982-83;Atlanta Hawks;11;Keith Edmonson;SG;6-5;195;September 28, 1960;us;R;Purdue
1982-83;Atlanta Hawks;34;Mike Glenn;SG;6-2;175;September 10, 1955;us;5;Southern Illinois
1982-83;Atlanta Hawks;44;Scott Hastings;PF;6-10;235;June 3, 1960;us;R;Arkansas
1982-83;Atlanta Hawks;10;Steve Hawes;PF;6-9;220;May 26, 1950;us;8;Washington
1982-83;Atlanta Hawks;3;Eddie Johnson;SG;6-2;180;February 24, 1955;us;5;Auburn
1982-83;Atlanta Hawks;52;George Johnson;C;6-11;205;December 18, 1948;us;10;Dillard University
1982-83;Atlanta Hawks;40;Rudy Macklin;SF;6-7;205;February 19, 1958;us;1;LSU
1982-83;Atlanta Hawks;1;Wes Matthews;PG;6-1;170;August 24, 1959;us;2;Wisconsin
1982-83;Atlanta Hawks;54;Tom McMillen;C;6-11;215;May 26, 1952;us;7;Maryland
1982-83;Atlanta Hawks;41;Sam Pellom;PF;6-9;225;October 2, 1951;us;3;Buffalo
1982-83;Atlanta Hawks;30;Tree Rollins;C;7-1;235;June 16, 1955;us;5;Clemson
1982-83;Atlanta Hawks;32;Dan Roundfield;PF;6-8;205;May 26, 1953;us;7;Central Michigan University
1982-83;Atlanta Hawks;7;Randy Smith;SG;6-3;180;December 12, 1948;us;11;Buffalo State
1982-83;Atlanta Hawks;2;Rory Sparrow;PG;6-2;175;June 12, 1958;us;2;Villanova
1982-83;Atlanta Hawks;21;Dominique Wilkins;SF;6-8;215;January 12, 1960;fr;R;Georgia
1983-84;Atlanta Hawks;31;Rickey Brown;C;6-10;215;August 20, 1958;us;3;Mississippi State
1983-84;Atlanta Hawks;14;Charlie Criss;PG;5-8;165;November 6, 1948;us;6;New Mexico State
1983-84;Atlanta Hawks;16;Johnny Davis;PG;6-2;170;October 21, 1955;us;7;Dayton
1983-84;Atlanta Hawks;34;Mike Glenn;SG;6-2;175;September 10, 1955;us;6;Southern Illinois
1983-84;Atlanta Hawks;44;Scott Hastings;PF;6-10;235;June 3, 1960;us;1;Arkansas
1983-84;Atlanta Hawks;24;Armond Hill;PG;6-4;190;March 31, 1953;us;7;Princeton
1983-84;Atlanta Hawks;3;Eddie Johnson;SG;6-2;180;February 24, 1955;us;6;Auburn
1983-84;Atlanta Hawks;53;Mark Landsberger;PF;6-8;215;May 21, 1955;us;6;Minnesota, Arizona State
1983-84;Atlanta Hawks;1;Wes Matthews;PG;6-1;170;August 24, 1959;us;3;Wisconsin
1983-84;Atlanta Hawks;5;Billy Paultz;C;6-11;235;July 30, 1948;us;13;Cameron University, St. John's
1983-84;Atlanta Hawks;33;John Pinone;SF;6-8;230;February 19, 1961;us;R;Villanova
1983-84;Atlanta Hawks;25;Doc Rivers;PG;6-4;185;October 13, 1961;us;R;Marquette
1983-84;Atlanta Hawks;30;Tree Rollins;C;7-1;235;June 16, 1955;us;6;Clemson
1983-84;Atlanta Hawks;32;Dan Roundfield;PF;6-8;205;May 26, 1953;us;8;Central Michigan University
1983-84;Atlanta Hawks;21;Dominique Wilkins;SF;6-8;215;January 12, 1960;fr;1;Georgia
1983-84;Atlanta Hawks;35;Sly Williams;SF;6-7;210;January 26, 1958;us;4;Rhode Island
1983-84;Atlanta Hawks;10;Randy Wittman;SG;6-6;210;October 28, 1959;us;R;Indiana
1984-85;Atlanta Hawks;31;Rickey Brown;C;6-10;215;August 20, 1958;us;4;Mississippi State
1984-85;Atlanta Hawks;33;Antoine Carr;PF;6-9;225;July 23, 1961;us;R;Wichita State
